University,Country,QS_Ranking,Tuition,IELTS
University of Glasgow,United Kingdom,78,29000,6.5
Maastricht University,Netherlands,145,18000,6.5
University of Bordeaux,France,211,4500,6.0
University of Toronto,Canada,25,42000,6.5
Lund University,Sweden,95,15000,6.5
University of Helsinki,Finland,115,13000,6.5
